id,name,type,visible,gender,password,password_tip,rating,reviews,location_type,address,road_address,location_tip,city,longitude,latitude,modified_at,created_at,paper,towel,soap,powder_room,hand_dry,vending,diaper,bell,mon,tue,wed,thu,fri,sat,sun,urinal,child_urinal,disable_urinal,seat,child_seat,disable_seat,washbasin
1,롯데백화점 구관 지하2층,0,True,True,False,,0,0,상업시설,서울 영등포구 영등포동3가 10-11,서울 영등포구 경인로 849,,서울특별시,126.907034099612,37.5167988382465,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","{'open': '10:30', 'close': '20:00'}","[0, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
2,우면산 (대성사 옆),0,True,True,False,,0,0,공공용시설,서울 서초구 서초동 산 138-2,서울 서초구 남부순환로 2406,,서울특별시,127.014958845156,37.4757601050597,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 1, 0]","[0, 2, 4]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
3,중랑망우공간 화장실,0,True,True,False,,0,0,공공용시설,서울 중랑구 망우동 산 57-1,서울 중랑구 망우로91길 2,,서울특별시,127.114382844197,37.5989775278216,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 3, 0]","[0, 0, 0]","[0, 2, 0]","[0, 5, 10]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
4,보라매경로당,0,True,True,False,,0,0,공공용시설,서울 관악구 봉천동 662-109,서울 관악구 봉천로21길 35,,서울특별시,126.934058538466,37.4884675978338,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 4, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
5,한양대학교병원,0,True,True,False,,0,0,기타,서울 성동구 사근동 110,서울 성동구 왕십리로 222,,서울특별시,127.046611216789,37.5545035492027,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 21, 0]","[0, 0, 0]","[0, 1, 0]","[0, 27, 27]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]"
6,신촌파랑고래,0,True,True,False,,0,0,공공용시설,서울 서대문구 창천동 57-18,서울 서대문구 연세로5나길 19,,서울특별시,126.935202516004,37.5568478341143,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","{'open': None, 'close': None}","[0, 2, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 3]","[0, 1, 1]","[0, 1, 1]","[0, 0, 0]"
7,중곡제4동주민센터,0,True,True,False,,0,0,공공용시설,서울 광진구 중곡동 62-24,서울 광진구 긴고랑로 131,,서울특별시,127.089432923963,37.5590986524587,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,False,"{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","{'open': '09:00', 'close': '18:00'}","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
8,성수역(2),0,True,True,False,,0,0,교통시설,서울 성동구 성수동2가 300-1,서울 성동구 아차산로 100,,서울특별시,127.056982849675,37.5446825313814,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,False,True,"{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","{'open': '00:00', 'close': '23:59'}","[0, 4, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
9,회현지하상가,0,True,True,False,,0,0,기타,서울 중구 충무로1가 52-41,서울 중구 소공로 지하 58,,서울특별시,126.981847764291,37.5606668775872,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,True,"{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","{'open': '05:00', 'close': '23:59'}","[0, 3, 0]","[0, 0, 0]","[0, 1, 0]","[0, 4, 8]","[0, 2, 2]","[0, 1, 1]","[0, 0, 0]"
10,아리랑시네센터,0,True,True,False,,0,0,공공용시설,서울 성북구 돈암동 538-98,서울 성북구 아리랑로 82,,서울특별시,127.013893650352,37.6001190917899,2024-03-06 23:46:33,2024-03-06 23:46:33,False,False,False,False,False,False,True,False,"{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","{'open': '09:00', 'close': '22:00'}","[0, 7, 0]","[0, 2, 0]","[0, 0, 0]","[0, 6, 15]","[0, 1, 2]","[0, 1, 1]","[0, 0, 0]"
